id	selected_letter	surface	status	source	notes
m-base-omyl-y	m	omyl	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
m-base-mysliet-y	m	myslieť	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
m-base-myslienka-y	m	myšlienka	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
m-base-mysel-y	m	myseľ	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
m-base-premyslat-y	m	premýšľať	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
m-base-zmysel-y	m	zmysel	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
m-base-umysel-y	m	úmysel	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
m-base-vymysel-y	m	výmysel	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
m-base-priemysel-y	m	priemysel	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
m-base-mys-y	m	mys	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
m-base-mys-2-y	m	myš	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
m-base-umyt-y	m	umyť	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
m-base-umyvat-y	m	umývať	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
m-base-pomyje-y	m	pomyje	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
m-base-mydlo-y	m	mydlo	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
m-base-myjava-y	m	Myjava	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
m-base-myto-y	m	mýto	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
m-base-mytnik-y	m	mýtnik	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
m-base-cmyrit-sa-y	m	čmýriť sa	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
